"Post Required","Field Name","Friendly Name",Value
No,altrehabcostFinanced,"Rehab/Construction Cost Financed",txtCurrency
No,altcashoutTotal,"Total Cash Out",txtCurrency
No,altprojectTotalvalue,"Total Project Value",txtCurrency
No,altacquisitionltv,"Acquisition LTV",txtDecimal
No,altmarketltv,"Market LTV",txtDecimal
No,altsimpleArv,"Simple ARV",txtDecimal
No,altfullArv,"Full ARV",txtDecimal
No,altloanTocost,"Loan-to-Cost (LTC)",txtDecimal
No,altpropertylistLink,"Property Listing Link",string
No,altpropertyCondition,"Property Condition",string
No,altconditionNotes,"Condition Notes",string
No,altpropertyAccess,"Property Access",string
No,altlockboxInfo,"Lock Box Info",string
No,altcontactName,"Property Access Contact Name",string
No,altcontactEmail,"Property Contact Email",string
No,altcontactPhone,"Property Contact Phone",string
No,altpropertyExtension,"Property Extension",string
No,altinteriorAccess,"Interior Access?",string
No,altloanCross,"Loan Cross Collateralized?",string
No,altpotentialIncome,"Gross Potential Income",txtCurrency
No,altvacancy,Vacancy,txtCurrency
No,altvacancyRate,"Vacancy Rate",txtDecimal
No,alteffectiveIncome,"Effective Gross Income",txtCurrency
No,altannualTax,"Annual Property Tax",txtCurrency
No,altannualPolicy,"Annual Insurance Policy Premium",txtCurrency
No,althoaFees,"HOA Fees",txtCurrency
No,altoperatingExpenses,"Operating Expenses",txtCurrency
No,altnetOperating,"Net Operating Income",txtCurrency
No,altcapRate,"Cap Rate",txtDecimal
No,altreserves,Reserves,txtCurrency
No,altreserveFactor,"Reserve Factor",txtCurrency
No,altrentableFeet,"Rentable Sq. Feet",string
No,altdebtRatio,"Debt Service Ratio",txtDecimal
No,altserviceDebt,"Cash Available to Service Debt",txtCurrency
No,altlargentTenant,"Gross Annual Rent of Largest Tenant",txtCurrency
No,altlandAcquisition,"Land Acquisition",txtCurrency
No,altnewConstruction,"New Building Construction",txtCurrency
No,altconstContingency,"Construction Contingency (5-10%)",txtCurrency
No,altbusinessAcquisition,"Business Acquisition",txtCurrency
No,altlandBusinessAmt,"Land and Business Acquisition",txtCurrency
No,altrenovations,Improvements/Repairs/Renovations,txtCurrency
No,altequipment,"Acquisition of Machinery/Equipment",txtCurrency
No,altfixtures,"Acquisition of Furniture/Fixtures",txtCurrency
No,altinventoryPurchase,"Inventory Purchase",txtCurrency
No,altworkingCapital,"Working Capital (+Accounts Payable)",txtCurrency
No,altrefinancingDebt,"Refinancing Existing Business Debt",txtCurrency
No,altfranchiseFee,"Franchise Fee",txtCurrency
No,altclosingCost,"Closing Cost (~5% of Loan Amount)",txtCurrency
No,altotherCost,"Other Cost",txtCurrency
No,altotherCost1,"Other Cost 2",txtCurrency
No,altestprojectCost,"Total Estimated Project Cost",txtCurrency
No,altlessOwner,"Less Owner’s Equity to be Injected",txtCurrency
No,altlessSeller,"Less Seller Carry-Back (If Applicable)",txtCurrency
No,altprojectTotalitem,"Total Loan Requested for Project",string
No,cobcoOwnpropertytype,"Co-borrow Are there any outstanding judgements against you?",boolean
No,borownpropertyTitle,"Are there any outstanding judgements against you?",boolean
No,cobcoOwnpropertytitle,"Co-borrow Are there any outstanding judgements against you?",boolean
No,bordownpaymentborSub,"Are there any outstanding judgements against you?",string
No,cobcoDownpaymentborsub,"Co-borrow Are there any outstanding judgements against you?",string
No,bordownpaymenttext,"Are there any outstanding judgements against you?",int
No,cobcoDownpaymenttext,"Co-borrow Are there any outstanding judgements against you?",int
No,borcomakernotestext,"Are there any outstanding judgements against you?",string
No,cobcoComakernotestext,"Co-borrow Are there any outstanding judgements against you?",string
No,boruscitizentext,"Are there any outstanding judgements against you?",string
No,cobcoUScitizentext,"Co-borrow Are there any outstanding judgements against you?",string
No,borresidentalientext,"Are there any outstanding judgements against you?",string
No,cobcoResidentalientext,"Co-borrow Are there any outstanding judgements against you?",string
No,boroutstandingjudgementstext,"Are there any outstanding judgements against you?",string
No,cobcoOutstandingjudgementstext,"Co-borrow Are there any outstanding judgements against you?",string
No,borpresentlydelinquenttext,"Are there any outstanding judgements against you?",string
No,cobcoPresentlydelinquenttext,"Co-borrow Are there any outstanding judgements against you?",string
No,borpartylawsuittext,"Are there any outstanding judgements against you?",string
No,cobcoPartylawsuittext,"Co-borrow Are there any outstanding judgements against you?",string
No,borhaveforeclosedtext,"Are there any outstanding judgements against you?",string
No,cobcoHaveforeclosedtext,"Co-borrow Are there any outstanding judgements against you?",string
No,borpreforeclosuresaletext,"Are there any outstanding judgements against you?",string
No,cobcoPreforeclosuresaletext,"Co-borrow Are there any outstanding judgements against you?",string
No,borpropertyforeclosedtext,"Are there any outstanding judgements against you?",string
No,cobcoPropertyforeclosedtext,"Co-borrow Are there any outstanding judgements against you?",string
No,borhavebankrupttext,"Are there any outstanding judgements against you?",string
No,cobcoHavebankrupttext,"Co-borrow Are there any outstanding judgements against you?",string
No,boroutstandingjudgements,"Are there any outstanding judgements against you?",boolean
